종목명,신용등급
동양피스톤,11
동원F&B,5
동원금속,14
동원산업,4
동원시스템즈,5
동일산업,100
동일제강,100
동화약품,9
두산,9
두산에너빌리티,10
두산퓨얼셀,9
두올,10
디아이,10
디아이씨,15
디와이,12
롯데렌탈,5
롯데리츠,4
롯데리츠,4
롯데손해보험,6
롯데쇼핑,4
롯데에너지머티리얼즈,100
롯데웰푸드,3
롯데정밀화학,4
롯데정보통신,100
롯데지주,4
롯데칠성,3
롯데케미칼,3
롯데하이마트,4
마니커,13
맥쿼리인프라,3
메리츠금융지주,3
메타랩스,16
명신산업,12
모나미,12
무림P&P,7
무림페이퍼,7
문배철강,9
미래에셋증권,3
미원상사,8
미창석유,100
방림,13
백광산업,12
범양건영,22
벽산,100
보령,6
보해양조,13
부광약품,8
부국증권,100
부산산업,100
부산주공,15
비비안,8
비케이탑스,15
빙그레,4
사조대림,20
사조동아원,9
사조씨푸드,100
사조오양,100
삼부토건,21
삼성SDI,3
삼성물산,2
삼성바이오로직스,4
삼성생명,1
삼성에스디에스,100
삼성엔지니어링,7
삼성전기,3
삼성전자,1
삼성제약,16
삼성중공업,9
삼성증권,2
삼성카드,2
삼성화재,1
삼양사,4
삼양식품,6
삼양패키징,7
삼양홀딩스,4
삼일씨엔에스,100
삼진제약,100
삼천리,2
삼화왕관,100
삼화페인트,8
상상인증권,100
샘표,9
서연이화,9
서울가스,5
서흥,7
선진,8
성신양회,11
성안,12
세방,100
세방전지,100
세아베스틸지주,5
세아제강,5
세아제강지주,100
세아특수강,100
세아홀딩스,6
세이브존I&C,10
세하,19
송원산업,6
수산중공업,100
스카이라이프,4
스틱인베스트먼트,15
신대양제지,11
신성이엔지,13
신성통상,9
신세계,3
신세계건설,6
신세계인터내셔날,100
신세계푸드,5
신송홀딩스,18
신영와코루,6
신영증권,4
신원,10
신일전자,13
신풍제약,9
신한지주,1
신흥,9
쌍방울,14
쌍용C&E,6
쎌마테라퓨틱스,12
아남전자,100
아모레G,100
아모레퍼시픽,100
아세아,5
아세아시멘트,5
아세아제지,11
아센디오,21
아시아나항공,10
아이마켓코리아,6
아이에스동서,9
아주스틸,12
알루코,11
애경산업,11
애경케미칼,100
에넥스,10
에스엘,100
에스원,100
에쓰씨엔지니어링,100
에이엔피,13
에이프로젠,14
에이프로젠바이오로직스,16
엔씨소프트,3
영원무역,4
영원무역홀딩스,7
영진약품,100
영풍,6
영화금속,13
영흥,100
예스코홀딩스,4
오뚜기,100
오리엔트바이오,16
오리온,3
오리온홀딩스,100
와이투솔루션,12
우리금융지주,1
우리종금,5
웅진,9
웅진씽크빅,8
웰바이오텍,20
윌비스,13
유니드,6
유니온,9
유니켐,13
유수홀딩스,7
유안타증권,4
유진투자증권,6
유한양행,4
유화증권,5
율촌화학,5
이건산업,13
이구산업,100
이노션,4
이리츠코크렙,7
이마트,3
이수페타시스,13
이수화학,9
이스타코,13
이지스레지던스리츠,7
이지스레지던스리츠,7
이화산업,10
인디에프,100
인스코비,16
인천도시가스,6
인터지스,100
일동제약,100
일동홀딩스,100
일성건설,11
일신방직,100
일신석재,100
일양약품,11
일진디스플,8
일진전기,7
일진홀딩스,9
자이에스앤디,7
전방,10
제이알글로벌리츠,8
제이에스코퍼레이션,100
제이준코스메틱,21
제일기획,3
제일파마홀딩스,100
제주은행,2
조광페인트,100
조광피혁,10
조선내화,100
조흥,100
종근당,5
종근당홀딩스,5
지누스,22
지역난방공사,1
지투알,100
진원생명과학,100
진흥기업,11
참엔지니어링,100
천일고속,100
청호ICT,100
카카오,3
카카오뱅크,2
카프로,8
케이비아이동국실업,12
케이씨,7
코람코에너지리츠,7
코리아써키트,100
코스맥스,8
코스모신소재,21
코스모화학,11
코오롱,8
코오롱글로벌,100
코오롱인더,6
코웨이,4
콘텐트리중앙,9
콤텍시스템,13
큐로,100
크라운제과,6
크라운해태홀딩스,6
키움증권,4
태광산업,4
태림포장,12
태양금속,14
태영건설,7
태평양물산,11
테이팩스,100
토니모리,100
티에이치엔,13
티웨이홀딩스,16
파미셀,100
팜스코,8
팜젠사이언스,12
팬오션,6
퍼스텍,100
퍼시스,100
페이퍼코리아,16
평화산업,14
평화홀딩스,8
포스코인터내셔널,4
포스코퓨처엠,4
풀무원,7
풍산,5
풍산홀딩스,100
플레이그램,100
하나금융지주,1
하나투어,6
하이트론,100
하이트진로,5
하이트진로홀딩스,6
한국가스공사,1
한국공항,100
한국금융지주,4
한국내화,12
한국무브넥스,100
한국석유,100
한국앤컴퍼니,3
한국자산신탁,7
한국전력,1
한국전자홀딩스,13
한국종합기술,100
한국주강,100
한국철강,6
한국카본,100
한국콜마,6
한국타이어앤테크놀로지,3
한국토지신탁,7
한국특강,100
한국항공우주,4
한국화장품제조,9
한독,8
한미글로벌,100
한미사이언스,100
한미약품,6
한샘,4
한섬,100
한성기업,100
한세실업,9
한솔PNS,100
한솔로지스틱스,8
한솔제지,6
한솔케미칼,5
한솔테크닉스,8
한솔홀딩스,7
한솔홈데코,9
한신공영,10
한신기계,13
한양증권,6
한온시스템,4
한올바이오파마,11
한익스프레스,100
한일시멘트,5
한일현대시멘트,6
한일홀딩스,5
한전KPS,3
한전기술,3
한진,8
한진중공업홀딩스,100
한진칼,9
한창,16
한창제지,18
한화,5
한화생명,3
한화손해보험,5
한화솔루션,4
한화시스템,4
한화에어로스페이스,4
한화오션,10
한화투자증권,4
해태제과식품,6
핸즈코퍼레이션,15
현대건설,4
현대그린푸드,100
현대글로비스,3
현대로템,7
현대리바트,100
현대모비스,2
현대미포조선,100
현대백화점,2
현대비앤지스틸,6
현대엘리베이,6
현대오토에버,4
현대위아,4
현대제철,3
현대지에프홀딩스,100
현대차,2
현대차증권,4
현대코퍼레이션,7
현대퓨처넷,100
현대해상,3
현대홈쇼핑,100
형지엘리트,14
혜인,100
호전실업,11
호텔신라,4
화성산업,100
화승알앤에이,10
화승인더,100
화승코퍼레이션,10
화신,9
화천기계,11
효성,6
효성중공업,6
효성첨단소재,6
효성티앤씨,100
효성화학,7
후성,100
휠라홀딩스,100
휴니드,100
휴비스,7
흥국화재,6
흥아해운,18
