,종목코드,final_return,순위,수익률
176,A184230,0.008335549926501944,1403,-1.5418502202643172
177,A005090,0.31511998311584344,81,-4.395604395604396
178,A016250,0.010768697500776272,1318,0.0
179,A001380,0.0029483122205301937,1714,-3.6879432624113475
180,A004060,0.03184501525264704,731,3.2945736434108532
181,A002360,0.026984638409490946,828,-0.3826530612244898
182,A009160,0.05825522984985398,416,-14.61794019933555
183,A123700,0.004927227579093395,1591,-8.834586466165414
184,A025530,0.0035500782161065497,1676,-13.67837338262477
185,A034730,0.016414852439078514,1122,-3.9332538736591176
186,A011790,0.01738370906117496,1077,11.907270811380402
187,A018670,0.02407447891488535,891,1.4308426073131957
188,A001740,0.05207275343653146,464,6.8181818181818175
189,A006120,0.011446657922111607,1284,5.106382978723404
190,A210980,0.10038272832206444,237,6.280193236714976
191,A068400,0.010859792118947241,1308,7.970244420828905
192,A302440,0.007714647588033737,1431,-4.2219541616405305
193,A326030,0.05110617723888234,477,16.73469387755102
194,A361610,0.017769217598706553,1060,7.336343115124154
195,A100090,0.001215430317546137,1839,3.2803690415171705
196,A096770,0.0029446906274831265,1715,-3.9132734003172924
197,A001510,0.027173924437139424,822,-1.8571428571428572
198,A285130,0.038394246153800125,639,-3.733333333333334
199,A017670,0.002529460315644333,1747,-5.432595573440644
